z_mean z_min z_max L_mean L_min L_max phi_mean phi_min phi_max Ngalaxy
2.180000000000000160e+00 2.160000000000000142e+00 2.200000000000000178e+00 1.025329274078162949e+43 9.679732529678434419e+42 1.086083853100616026e+43 1.894130637560908717e-05 4.982071188444850062e-06 7.201283836465616770e-05 2.000000000000000000e+00
2.180000000000000160e+00 2.160000000000000142e+00 2.200000000000000178e+00 1.290813078593470025e+43 1.086083853100616026e+43 1.534134219113184551e+43 9.493140943678137731e-06 5.216868969842480529e-06 1.727467672611668686e-05 5.000000000000000000e+00
2.180000000000000160e+00 2.160000000000000142e+00 2.200000000000000178e+00 1.823321936603352590e+43 1.534134219113159297e+43 2.167022182987876934e+43 2.801624514302740354e-06 8.268180116264974103e-07 9.493140943678156365e-06 2.000000000000000000e+00
1.469999999999999973e+00 1.449999999999999956e+00 1.489999999999999991e+00 1.292412706952850299e+42 1.087429772630636378e+42 1.536035380981379042e+42 1.887106202223473583e-03 1.643600792516941664e-03 2.166687820232109703e-03 1.270000000000000000e+02
1.469999999999999973e+00 1.449999999999999956e+00 1.489999999999999991e+00 1.825581471718420300e+42 1.536035380981353974e+42 2.169707645505106991e+42 8.237517343891587055e-04 6.543292610284054227e-04 1.037041991432031138e-03 4.200000000000000000e+01
1.469999999999999973e+00 1.449999999999999956e+00 1.489999999999999991e+00 2.578702369569923276e+42 2.169707645505071400e+42 3.064793510130991304e+42 2.604931707183793079e-04 1.844150420709342222e-04 3.679563837575354187e-04 1.900000000000000000e+01
1.469999999999999973e+00 1.449999999999999956e+00 1.489999999999999991e+00 3.642513913425165830e+42 3.064793510130941168e+42 4.329135899576168508e+42 5.442473736958098875e-05 2.856250819369067330e-05 1.037041991432030217e-04 6.000000000000000000e+00
2.250000000000000000e+00 2.229999999999999982e+00 2.270000000000000018e+00 4.579564950842249600e+42 3.637677743207702803e+42 5.765330691577233743e+42 6.569424583477553523e-04 5.464209365527882738e-04 7.898185532616376408e-04 3.700000000000000000e+01
3.339999999999999858e+00 3.310000000000000053e+00 3.370000000000000107e+00 1.149196733073830700e+43 1.024222666452293967e+43 1.289419942132357320e+43 1.284744750612207525e-04 8.685940536131301422e-05 1.900276737285587568e-04 1.200000000000000000e+01
3.339999999999999858e+00 3.310000000000000053e+00 3.370000000000000107e+00 1.446752970417489049e+43 1.217290920470021938e+43 1.719469127892319831e+43 1.118965900170437679e-04 6.438976674764917399e-05 1.944539868658478601e-04 7.000000000000000000e+00
1.000000000000000056e-01 3.200000000000000067e-02 2.000000000000000111e-01 6.515750753618020620e+39 5.175644794024792972e+39 8.202844200646749617e+39 1.274075709379023785e-02 1.215960931102167200e-02 1.334914617887608158e-02 -1.000000000000000000e+00
1.000000000000000056e-01 3.200000000000000067e-02 2.000000000000000111e-01 1.032676901318263966e+40 8.202844200646749617e+39 1.300063193242424153e+40 1.206971301337465829e-02 1.139776088954850414e-02 1.277980296044500114e-02 -1.000000000000000000e+00
1.000000000000000056e-01 3.200000000000000067e-02 2.000000000000000111e-01 1.636682590911164190e+40 1.300063193242424153e+40 2.060461304739188780e+40 9.009606719733928570e-03 8.788952170963986940e-03 9.234801485556746667e-03 -1.000000000000000000e+00
1.000000000000000056e-01 3.200000000000000067e-02 2.000000000000000111e-01 2.593967096554696337e+40 2.060461304739154930e+40 3.265611095210652119e+40 7.392381405498277269e-03 7.228025548184042332e-03 7.561277479865391275e-03 -1.000000000000000000e+00
1.000000000000000056e-01 3.200000000000000067e-02 2.000000000000000111e-01 4.111160792797685043e+40 3.265611095210652119e+40 5.175644794024877838e+40 5.657110447887761517e-03 5.550869368850383338e-03 5.765167613746292365e-03 -1.000000000000000000e+00
1.000000000000000056e-01 3.200000000000000067e-02 2.000000000000000111e-01 6.515750753618022071e+40 5.175644794024792730e+40 8.202844200646749376e+40 3.943632532131066508e-03 3.872805146106148011e-03 4.015367961566561339e-03 -1.000000000000000000e+00
1.000000000000000056e-01 3.200000000000000067e-02 2.000000000000000111e-01 1.032676901318264039e+41 8.202844200646749376e+40 1.300063193242424153e+41 2.458073512428919465e-03 2.409039168257822144e-03 2.507107856600017219e-03 -1.000000000000000000e+00
1.000000000000000056e-01 3.200000000000000067e-02 2.000000000000000111e-01 1.636682590911164287e+41 1.300063193242424153e+41 2.060461304739188780e+41 1.264904470932207365e-03 1.223134474045716813e-03 1.307582511229273816e-03 -1.000000000000000000e+00
1.000000000000000056e-01 3.200000000000000067e-02 2.000000000000000111e-01 2.593967096554696241e+41 2.060461304739155124e+41 3.265611095210652023e+41 5.648030013782002947e-04 5.411938727032272094e-04 5.893201734637491720e-04 -1.000000000000000000e+00
1.000000000000000056e-01 3.200000000000000067e-02 2.000000000000000111e-01 4.111160792797685236e+41 3.265611095210652023e+41 5.175644794024877065e+41 2.206545487699399768e-04 2.061258542007258414e-04 2.360912867497300398e-04 -1.000000000000000000e+00
1.000000000000000056e-01 3.200000000000000067e-02 2.000000000000000111e-01 6.515750753618020717e+41 5.175644794024792730e+41 8.202844200646750149e+41 7.536760307779843265e-05 6.810325579319133783e-05 8.353999377298138723e-05 -1.000000000000000000e+00
1.699999999999999845e-01 1.000000000000000056e-01 2.399999999999999911e-01 4.401863964898451230e+40 3.163526598178621045e+40 5.625634212651518713e+40 9.396836490927222910e-03 4.594083306176758100e-03 1.419958967567768598e-02 7.820000000000000000e+02
1.699999999999999845e-01 1.000000000000000056e-01 2.399999999999999911e-01 2.361566230420495057e+41 1.778981739494682771e+41 3.163526598178620948e+41 9.116424039424913780e-04 6.002820940054622110e-04 1.223002713879520545e-03 5.950000000000000000e+02
1.699999999999999845e-01 1.000000000000000056e-01 2.399999999999999911e-01 4.169224252936434643e+41 3.163526598178620948e+41 5.625634212651518520e+41 3.451146356803799060e-04 2.069240800246262887e-04 4.833051913361334690e-04 1.980000000000000000e+02
1.699999999999999845e-01 1.000000000000000056e-01 2.399999999999999911e-01 7.383788508619886233e+41 5.625634212651518520e+41 1.000394948876872201e+42 5.387858588679642963e-05 3.965192483742866218e-05 6.810524693616419709e-05 4.600000000000000000e+01
